Month,Year,Number_Of_People,Household_Water_Use_Litres_Yearly,Person_Water_Use_Litres_Yearly,Person_Water_Use_Litres_Per_Day
August,2019,2,203336,101668,279
August,2019,2,197332,98666,270
August,2019,3,134078,44693,122
August,2019,2,226968,113484,311
August,2019,2,168885,84443,231
August,2019,4,331554,82889,227
August,2019,2,103556,51778,142
August,2019,1,70760,70760,194
August,2019,1,59501,59501,163
August,2019,3,161419,53806,147
August,2019,3,236298,78766,216
August,2019,1,51534,51534,141
August,2019,4,217728,54432,149
August,2019,1,47882,47882,131
August,2019,3,121016,40339,111
August,2019,1,43087,43087,118
August,2019,2,173661,86830,238
August,2019,2,175497,87748,240
August,2019,3,102815,34272,94
August,2019,4,229183,57296,157
August,2019,1,78493,78493,215
August,2019,5,162194,32439,89
August,2019,3,150395,50132,137
August,2019,3,108963,36321,100
August,2019,1,54058,54058,148
August,2019,4,140231,35058,96
August,2019,2,103593,51796,142
August,2019,4,160830,40208,110
August,2019,2,85708,42854,117
August,2019,1,140517,140517,385
August,2019,4,247423,61856,169
August,2019,1,62911,62911,172
August,2019,1,37721,37721,103
August,2019,4,197633,49408,135
August,2019,1,31012,31012,85
August,2019,1,46654,46654,128
August,2019,2,58135,29067,80
August,2019,2,138097,69048,189
August,2019,1,38773,38773,106
August,2019,2,84556,42278,116
August,2019,2,63777,31888,87
August,2019,2,144361,72180,198
August,2019,2,83591,41795,115
August,2019,1,48677,48677,133
August,2019,4,215049,53762,147
August,2019,2,76481,38240,105
August,2019,1,45651,45651,125
August,2019,2,112904,56452,155
August,2019,3,115934,38645,106
August,2019,3,158885,52962,145
August,2019,4,167997,41999,115
August,2019,4,158122,39531,108
August,2019,2,115956,57978,159
August,2019,2,104542,52271,143
August,2019,3,112292,37431,103
August,2019,2,162596,81298,223
August,2019,2,101228,50614,139
August,2019,1,95089,95089,261
August,2019,2,166685,83343,228
August,2019,3,133653,44551,122
August,2019,3,125955,41985,115
August,2019,2,72653,36326,100
August,2019,3,100807,33602,92
August,2019,2,124203,62101,170
August,2019,3,289088,96363,264
August,2019,1,49312,49312,135
August,2019,3,97465,32488,89
August,2019,1,50136,50136,137
August,2019,1,97634,97634,267
August,2019,1,52230,52230,143
August,2019,2,181233,90617,248
August,2019,1,53091,53091,145
August,2019,2,58429,29215,80
August,2019,2,107882,53941,148
August,2019,1,31327,31327,86
August,2019,4,175447,43862,120
August,2019,3,187427,62476,171
August,2019,1,32999,32999,90
August,2019,1,70576,70576,193
August,2019,2,83108,41554,114
August,2019,3,126551,42184,116
August,2019,3,207053,69018,189
August,2019,3,188631,62877,172
August,2019,2,67813,33907,93
August,2019,1,53992,53992,148
August,2019,1,21271,21271,58
August,2019,1,74844,74844,205
August,2019,4,238791,59698,164
August,2019,2,126814,63407,174
August,2019,2,81353,40676,111
August,2019,2,122206,61103,167
August,2019,2,101841,50920,140
August,2019,4,185646,46412,127
August,2019,1,80661,80661,221
August,2019,3,131433,43811,120
August,2019,2,153821,76910,211
August,2019,4,210345,52586,144
August,2019,1,74844,74844,205
August,2019,1,60513,60513,166
August,2019,1,45825,45825,126
August,2019,2,110506,55253,151
August,2019,4,156876,39219,107
